日期,收盘
2002-12-12,103.0547
2002-12-13,103.1569
2002-12-16,103.2413
2002-12-17,103.2885
2002-12-18,103.5821
2002-12-19,103.2662
2002-12-20,103.3477
2002-12-23,103.3102
2002-12-24,103.1874
2002-12-25,103.4857
2002-12-26,103.4075
2002-12-27,103.6149
2002-12-30,103.0763
2002-12-31,103.577
2003-01-02,103.5441
2003-01-03,103.4197
2003-01-06,103.5178
2003-01-07,103.3997
2003-01-08,103.4388
2003-01-09,103.3227
2003-01-10,103.4255
2003-01-13,103.4822
2003-01-14,103.3744
2003-01-15,103.5304
2003-01-16,103.5187
2003-01-17,103.5411
2003-01-20,103.5875
2003-01-21,103.705
2003-01-22,103.827
2003-01-23,103.7678
2003-01-24,103.7374
2003-01-27,103.9316
2003-01-28,104.1149
2003-01-29,104.2207
2003-01-30,104.0575
2003-01-31,103.9306
2003-02-08,104.3305
2003-02-09,103.974
2003-02-10,103.8857
2003-02-11,103.7411
2003-02-12,103.9889
2003-02-13,104.0332
2003-02-14,104.039
2003-02-17,103.7957
2003-02-18,103.8102
2003-02-19,104.1047
2003-02-20,104.0594
2003-02-21,104.197
2003-02-24,103.9755
2003-02-25,103.9126
2003-02-26,104.0449
2003-02-27,104.0275
2003-02-28,104.3218
2003-03-03,104.1702
2003-03-04,104.107
2003-03-05,104.2353
2003-03-06,104.3165
2003-03-07,104.4224
2003-03-10,104.4727
2003-03-11,104.594
2003-03-12,104.5708
2003-03-13,104.3507
2003-03-14,104.4058
2003-03-17,104.6863
2003-03-18,104.592
2003-03-19,104.4844
2003-03-20,104.5351
2003-03-21,104.4467
2003-03-24,104.6704
2003-03-25,104.7309
2003-03-26,104.7949
2003-03-27,104.7803
2003-03-28,104.8603
2003-03-31,104.772
2003-04-01,104.6109
2003-04-02,104.7419
2003-04-03,104.7693
2003-04-04,104.7922
2003-04-07,104.8473
2003-04-08,104.9001
2003-04-09,105.0393
2003-04-10,104.9093
2003-04-11,104.8946
2003-04-14,105.005
2003-04-15,104.9667
2003-04-16,105.0755
2003-04-17,104.7506
2003-04-18,105.0372
2003-04-21,105.1298
2003-04-22,105.114
2003-04-23,105.0361
2003-04-24,105.0083
2003-04-25,104.923
2003-04-28,104.8406
2003-04-29,105.0412
2003-04-30,105.2485
2003-05-06,105.2449
2003-05-07,105.1284
2003-05-08,105.2186
2003-05-09,105.2127
2003-05-12,105.311
2003-05-13,105.2174
2003-05-14,105.298
2003-05-15,105.3477
2003-05-16,105.4383
2003-05-19,105.3937
2003-05-20,105.5096
2003-05-21,105.5599
2003-05-22,105.5024
2003-05-23,105.5287
2003-05-26,105.502
2003-05-27,105.5409
2003-05-28,105.6371
2003-05-29,105.4508
2003-05-30,105.5363
2003-06-02,105.4638
2003-06-03,105.6349
2003-06-04,105.4401
2003-06-05,105.691
2003-06-06,105.6615
2003-06-09,105.5699
2003-06-10,105.4551
2003-06-11,105.6381
2003-06-12,105.5853
2003-06-13,105.6002
2003-06-16,105.5101
2003-06-17,105.4953
2003-06-18,105.5269
2003-06-19,105.4524
2003-06-20,105.4484
2003-06-23,105.3944
2003-06-24,105.427
2003-06-25,105.0267
2003-06-26,105.3531
2003-06-27,105.3384
2003-06-30,105.2934
2003-07-01,105.3791
2003-07-02,104.9937
2003-07-03,105.3513
2003-07-04,105.5483
2003-07-07,105.6003
2003-07-08,105.5156
2003-07-09,105.3355
2003-07-10,105.5592
2003-07-11,105.6897
2003-07-14,105.6179
2003-07-15,105.5958
2003-07-16,105.4834
2003-07-17,105.6026
2003-07-18,105.6504
2003-07-21,105.626
2003-07-22,105.696
2003-07-23,105.7814
2003-07-24,105.7857
2003-07-25,105.8731
2003-07-28,105.7798
2003-07-29,105.8051
2003-07-30,105.7752
2003-07-31,105.7852
2003-08-01,105.8001
2003-08-04,105.9403
2003-08-05,105.9453
2003-08-06,105.9278
2003-08-07,105.8414
2003-08-08,105.7335
2003-08-11,105.7729
2003-08-12,105.8915
2003-08-13,105.8416
2003-08-14,105.8474
2003-08-15,105.9721
2003-08-18,106.0256
2003-08-19,105.8379
2003-08-20,105.9336
2003-08-21,105.6887
2003-08-22,105.7349
2003-08-25,105.7669
2003-08-26,105.9854
2003-08-27,105.6472
2003-08-28,105.6778
2003-08-29,105.7848
2003-09-01,105.8048
2003-09-02,105.7719
2003-09-03,105.7041
2003-09-04,105.9159
2003-09-05,105.6953
2003-09-08,105.6459
2003-09-09,105.5649
2003-09-10,105.5515
2003-09-11,105.5511
2003-09-12,105.4776
2003-09-15,105.9488
2003-09-16,105.4956
2003-09-17,105.3695
2003-09-18,105.2582
2003-09-19,105.3713
2003-09-22,105.4976
2003-09-23,105.0192
2003-09-24,104.7695
2003-09-25,104.9309
2003-09-26,105.0748
2003-09-27,104.7205
2003-09-28,104.7487
2003-09-29,104.713
2003-09-30,104.9519
2003-10-08,104.8935
2003-10-09,105.173
2003-10-10,104.9226
2003-10-13,104.4166
2003-10-14,104.3806
2003-10-15,104.6684
2003-10-16,104.5348
2003-10-17,104.3391
2003-10-20,104.0594
2003-10-21,104.8294
2003-10-22,104.8843
2003-10-23,104.2833
2003-10-24,104.0409
2003-10-27,104.4771
2003-10-28,104.5133
2003-10-29,104.4894
2003-10-30,104.7434
2003-10-31,104.3326
2003-11-03,104.5133
2003-11-04,104.5284
2003-11-05,104.7188
2003-11-06,104.8467
2003-11-07,104.5154
2003-11-10,104.212
2003-11-11,103.7904
2003-11-12,104.2313
2003-11-13,104.0202
2003-11-14,103.9967
2003-11-17,104.4736
2003-11-18,103.9955
2003-11-19,104.121
2003-11-20,104.0068
2003-11-21,103.9497
2003-11-24,104.4354
2003-11-25,104.2407
2003-11-26,104.4391
2003-11-27,104.1657
2003-11-28,104.2484
2003-12-01,104.0512
2003-12-02,104.1158
2003-12-03,104.0244
2003-12-04,104.3663
2003-12-05,103.9928
2003-12-08,104.1963
2003-12-09,104.3561
2003-12-10,104.3798
2003-12-11,104.728
2003-12-12,104.8382
2003-12-15,104.2481
2003-12-16,104.6712
2003-12-17,104.6798
2003-12-18,104.9066
2003-12-19,104.923
2003-12-22,104.6749
2003-12-23,104.7213
2003-12-24,105.4513
2003-12-25,104.9444
2003-12-26,104.9812
2003-12-29,104.9982
2003-12-30,105.3386
2003-12-31,105.3398
2004-01-02,105.3215
2004-01-05,105.1182
2004-01-06,104.8303
2004-01-07,104.4832
2004-01-08,104.7988
2004-01-09,104.5826
2004-01-12,104.7304
2004-01-13,105.0917
2004-01-14,105.0126
2004-01-15,104.7684
2004-01-16,105.2637
2004-01-17,105.178
2004-01-18,105.1276
2004-01-19,104.9353
2004-01-20,105.1357
2004-01-21,104.8885
2004-01-29,104.8899
2004-01-30,104.9063
2004-02-02,104.7005
2004-02-03,104.7142
2004-02-04,104.792
2004-02-05,104.9011
2004-02-06,105.158
2004-02-09,105.0412
2004-02-10,105.1879
2004-02-11,105.1264
2004-02-12,104.9481
2004-02-13,104.9681
2004-02-16,105.0455
2004-02-17,105.3559
2004-02-18,104.8763
2004-02-19,104.985
2004-02-20,105.1294
2004-02-23,105.0508
2004-02-24,105.1141
2004-02-25,104.9994
2004-02-26,105.1486
2004-02-27,105.522
2004-03-01,105.0875
2004-03-02,105.0632
2004-03-03,104.9783
2004-03-04,105.0982
2004-03-05,105.0291
2004-03-08,105.1176
2004-03-09,105.2053
2004-03-10,105.21
2004-03-11,104.7646
2004-03-12,104.9954
2004-03-15,105.354
2004-03-16,105.5062
2004-03-17,105.1974
2004-03-18,105.1553
2004-03-19,104.9048
2004-03-22,104.8576
2004-03-23,104.7146
2004-03-24,104.5426
2004-03-25,104.6917
2004-03-26,104.9781
2004-03-29,104.7268
2004-03-30,104.8098
2004-03-31,105.1857
2004-04-01,104.8159
2004-04-02,104.8895
2004-04-05,104.9221
2004-04-06,104.855
2004-04-07,104.8153
2004-04-08,104.6425
2004-04-09,104.8314
2004-04-12,104.8822
2004-04-13,104.7589
2004-04-14,104.3903
2004-04-15,104.1693
2004-04-16,103.4629
2004-04-19,103.6034
2004-04-20,103.8492
2004-04-21,103.7858
2004-04-22,103.7274
2004-04-23,103.6723
2004-04-26,103.7385
2004-04-27,103.8984
2004-04-28,104.1467
2004-04-29,103.356
2004-04-30,103.7836
2004-05-08,103.7621
2004-05-09,103.9287
2004-05-10,103.3422
2004-05-11,103.3585
2004-05-12,103.9337
2004-05-13,103.5857
2004-05-14,103.8713
2004-05-17,104.1039
2004-05-18,104.0305
2004-05-19,104.2003
2004-05-20,103.9042
2004-05-21,103.8154
2004-05-24,103.6457
2004-05-25,104.0765
2004-05-26,104.145
2004-05-27,104.0058
2004-05-28,104.2723
2004-05-31,104.1039
2004-06-01,104.5959
2004-06-02,104.5886
2004-06-03,104.735
2004-06-04,104.4258
2004-06-07,103.9916
2004-06-08,104.1311
2004-06-09,104.362
2004-06-10,103.9181
2004-06-11,104.216
2004-06-14,103.6268
2004-06-15,104.1318
2004-06-16,104.0897
2004-06-17,104.0496
2004-06-18,104.4122
2004-06-21,103.5363
2004-06-22,103.7337
2004-06-23,104.5392
2004-06-24,104.1591
2004-06-25,104.3902
2004-06-28,104.1078
2004-06-29,103.7143
2004-06-30,104.0023
2004-07-01,103.856
2004-07-02,103.6114
2004-07-05,103.8582
2004-07-06,103.6805
2004-07-07,104.0177
2004-07-08,103.9514
2004-07-09,103.8203
2004-07-12,103.7612
2004-07-13,103.5253
2004-07-14,103.8943
2004-07-15,103.5426
2004-07-16,104.0785
2004-07-19,104.0753
2004-07-20,103.6953
2004-07-21,104.0213
2004-07-22,104.1612
2004-07-23,103.8343
2004-07-26,104.1351
2004-07-27,103.8124
2004-07-28,103.9906
2004-07-29,104.1023
2004-07-30,104.6238
2004-08-02,104.4012
2004-08-03,104.2197
2004-08-04,104.2547
2004-08-05,104.1171
2004-08-06,104.332
2004-08-09,104.25
2004-08-10,104.2966
2004-08-11,104.1965
2004-08-12,103.8178
2004-08-13,104.0266
2004-08-16,104.1334
2004-08-17,103.8475
2004-08-18,104.1528
2004-08-19,103.885
2004-08-20,104.2701
2004-08-23,104.1218
2004-08-24,104.2755
2004-08-25,103.9307
2004-08-26,104.3744
2004-08-27,104.5517
2004-08-30,104.0139
2004-08-31,104.7494
2004-09-01,104.3212
2004-09-02,104.2992
2004-09-03,104.1637
2004-09-06,104.2055
2004-09-07,104.1936
2004-09-08,103.7132
2004-09-09,104.0018
2004-09-10,104.6176
2004-09-13,104.1596
2004-09-14,103.849
2004-09-15,103.8078
2004-09-16,103.9466
2004-09-17,103.9862
2004-09-20,103.7321
2004-09-21,104.062
2004-09-22,104.2635
2004-09-23,104.3657
2004-09-24,104.2518
2004-09-27,104.1674
2004-09-28,104.2411
2004-09-29,104.4406
2004-09-30,104.6277
2004-10-08,104.6166
2004-10-09,104.3232
2004-10-10,104.4434
2004-10-11,104.5227
2004-10-12,104.5605
2004-10-13,104.7404
2004-10-14,104.5344
2004-10-15,104.7232
2004-10-18,104.9747
2004-10-19,104.8671
2004-10-20,104.6354
2004-10-21,104.9581
2004-10-22,104.7781
2004-10-25,104.7951
2004-10-26,104.9394
2004-10-27,104.7049
2004-10-28,104.8543
2004-10-29,104.8669
2004-11-01,104.5412
2004-11-02,104.5117
2004-11-03,104.4165
2004-11-04,104.4588
2004-11-05,104.4195
2004-11-08,104.3916
2004-11-09,104.608
2004-11-10,104.8429
2004-11-11,104.4029
2004-11-12,104.5619
2004-11-15,104.5103
2004-11-16,104.6388
2004-11-17,104.5039
2004-11-18,104.4967
2004-11-19,104.6711
2004-11-22,104.4548
2004-11-23,104.5419
2004-11-24,104.7224
2004-11-25,104.7136
2004-11-26,104.8446
2004-11-29,104.7339
2004-11-30,104.846
2004-12-01,104.8794
2004-12-02,104.8519
2004-12-03,104.9269
2004-12-06,105.1905
2004-12-07,105.1242
2004-12-08,105.0412
2004-12-09,105.0097
2004-12-10,105.4082
2004-12-13,105.0455
2004-12-14,105.1646
2004-12-15,105.1592
2004-12-16,105.2658
2004-12-17,105.2437
2004-12-20,105.5764
2004-12-21,105.4516
2004-12-22,105.5218
2004-12-23,105.4357
2004-12-24,105.6823
2004-12-27,105.1924
2004-12-28,105.3543
2004-12-29,105.7309
2004-12-30,105.7368
2004-12-31,105.7989
2005-01-04,105.8153
2005-01-05,105.9273
2005-01-06,105.5623
2005-01-07,105.7206
2005-01-10,105.6599
2005-01-11,105.7978
2005-01-12,105.773
2005-01-13,105.6349
2005-01-14,105.8919
2005-01-17,105.9964
2005-01-18,105.8957
2005-01-19,105.9275
2005-01-20,105.953
2005-01-21,106.021
2005-01-24,106.1954
2005-01-25,106.1164
2005-01-26,106.0935
2005-01-27,106.0864
2005-01-28,106.2783
2005-01-31,106.3875
2005-02-01,106.4081
2005-02-02,106.3485
2005-02-03,106.4332
2005-02-04,106.6207
2005-02-05,106.5975
2005-02-06,106.4725
2005-02-07,106.851
2005-02-08,106.8567
2005-02-16,107.0118
2005-02-17,106.8918
2005-02-18,106.992
2005-02-21,106.9118
2005-02-22,106.8051
2005-02-23,107.1854
2005-02-24,106.9648
2005-02-25,107.2696
2005-02-28,107.3028
2005-03-01,107.1072
2005-03-02,107.1025
2005-03-03,107.0541
2005-03-04,107.2101
2005-03-07,107.2471
2005-03-08,107.2165
2005-03-09,107.293
2005-03-10,107.4114
2005-03-11,107.4548
2005-03-14,107.5271
2005-03-15,107.485
2005-03-16,107.649
2005-03-17,107.9312
2005-03-18,108.0772
2005-03-21,108.089
2005-03-22,108.0136
2005-03-23,108.0707
2005-03-24,108.14
2005-03-25,108.0822
2005-03-28,108.1018
2005-03-29,108.1937
2005-03-30,108.2274
2005-03-31,108.1695
2005-04-01,108.1766
2005-04-04,108.2788
2005-04-05,108.3938
2005-04-06,108.358
2005-04-07,108.575
2005-04-08,108.6774
2005-04-11,108.7878
2005-04-12,108.9368
2005-04-13,108.8458
2005-04-14,109.0948
2005-04-15,109.0605
2005-04-18,109.1314
2005-04-19,109.1395
2005-04-20,108.8029
2005-04-21,109.0822
2005-04-22,109.0451
2005-04-25,109.2448
2005-04-26,109.238
